model,target,mae,rmse,r2,train_rows,test_rows
rf,emission_nm,23.849261624704223,37.88909388206686,0.8375101818918049,33105,8166
extratrees,emission_nm,28.20014759951865,48.21492293662217,0.7368758756203462,33105,8166
histgb,emission_nm,29.31182483050792,40.48354371544475,0.814495368676046,33105,8166
gbdt,emission_nm,40.1038110419408,51.85893694254552,0.6955997997039869,33105,8166
extratrees,quantum_yield,0.14637454988547136,0.22029918154622363,0.505168465626774,24824,6482
rf,quantum_yield,0.1504736931920847,0.2112839501822285,0.5448394466161031,24824,6482
histgb,quantum_yield,0.17489050541164555,0.22543390345639408,0.48183262769161705,24824,6482
gbdt,quantum_yield,0.2087309058600248,0.25403530538551344,0.342009296585562,24824,6482
